Input,Output,ImageName
what country produced the most daily barrels of crude oil in 2020?,Mexico,two_col_24050.png
what was the name of the 787's debut airline?,All Nippon Airways,two_col_40914.png
what was mckesson europe's pharmacy segment revenue in fy 2017?,16813.2,multi_col_80846.png
what percentage of households subscribed to cellular online service with no other type of internet?,11.6,two_col_2998.png
what was the global revenue of lvmh's wine and spirits segment in 2020?,4755,two_col_24005.png
in what year was the cyber security defence and intelligence segment predicted to grow in the uk?,2010,two_col_63247.png
what is the expected decline in singapore's gdp in 2019?,1.35,two_col_1137.png
what is an example of an online streaming service?,TVN,two_col_80727.png
what percentage of consumers used the most popular method of logging in to online banking?,68,two_col_82415.png
how many people were murdered in barbados in 2018?,28,two_col_21937.png
how many people were intentionally killed in barbados between 2010 and 2015?,31,two_col_21937.png
how much did gary lineker earn?,1.75,two_col_20126.png
"what is the online share of retail sales of music, video and games?",34.4,two_col_81839.png
what is the business segment of sqm that is the world's largest lithium producer?,Lithium and derivatives,multi_col_100551.png
which airline was the most punctual in 2018?,Copa Airlines,two_col_102739.png
"as of the fourth quarter 2014, twitter timelines had generated an average of how many timeline views per monthly active us user?",778,multi_col_60461.png
how many gallons of gasoline were sold in january 2011?,387782658,two_col_43581.png
how many gallons of gasoline were sold in ohio in january 2010?,392104432,two_col_43581.png
what was thailand's tourism segment score in 2014?,78,two_col_24040.png
what was the average price per pound of copper produced by barrick gold in 2020?,2.92,two_col_80231.png
how many home runs did barry bonds hit between 1986 and 2007?,762,two_col_643.png
how many companies did the assistive technology segment have in 2017?,347,two_col_23826.png
how many companies did the digital health segment have in 2017?,491,two_col_23826.png
how much was the kit sponsorship revenue of the fc barcelona in the 2014/15 season?,39,multi_col_100251.png
what was the average length of digital video ads viewed in the first quarter of 2018?,15 seconds,multi_col_20658.png
when did aeroflot - russian airlines increase prices on flights within the country?,April and May 2020,multi_col_100852.png
who has the most rbi in colorado rockies franchise history?,Todd Helton,two_col_103653.png
in what year did the annual additions to biomass power plants in germany begin to decline?,2012,two_col_83233.png
what was the global sales of the richemont group's specialist watchmakers segment in fy2020?,2879,multi_col_20812.png
what was the 10th most popular online resource for teenagers in russia in 2018?,ok.ru,two_col_102903.png
what was online sales valued at in luxembourg in 2018?,797,two_col_40102.png
how much was neymar's transfer from barcelona to psg worth?,222,two_col_382.png
how many barrels of oil equivalent reserves did total se have in europe and central asia as of 2020?,4431,two_col_5955.png
what was the total revenue of mesa airlines in dollars in 2020?,510.26,two_col_43057.png
how much money did the mobile operators segment contribute to the mobile ecosystem in 2019?,640,two_col_41147.png
what was the average annual gasoline price in the u.s. in 1956?,249.9,two_col_40053.png
how much fuel was consumed by u.s. airlines in 2020 due to the coronavirus pandemic?,10.28,two_col_1377.png
what was the highest amount of fuel consumed by u.s. airlines in 2007?,18.27,two_col_1377.png
what was the revenue share of online retail in germany in 2013?,18.9,multi_col_60286.png
how much revenue did pfizer's biopharma segment generate in 2019?,39419,multi_col_1040.png
what segment of pfizer's business did the consumer healthcare business merge with gsk in 2019?,Biopharma,multi_col_1040.png
what was netgear's connected home segment revenue in 2019?,771.06,multi_col_80136.png
what was the gross sales of mattel's barbie brand the year before?,1159.77,two_col_900.png
what was the gross sales of mattel's barbie brand in the united states in 2020?,1350.1,two_col_900.png
what was the net sales of the agricultural productivity segment in 2017?,3727,two_col_42884.png
what percentage of irish consumers said they look at products in store but go online to find the best price?,86.7,two_col_20907.png
