Input,Output,ImageName
how much money did the average consumer plan to spend on valentine's day gifts for co-workers in 2014?,53.68,two_col_41292.png
how many minutes of tv did women consume daily?,196,multi_col_20106.png
how many minutes of tv did men consume in the uk in 2019?,170,multi_col_20106.png
what was the average consumer spend on mobile apps per smartphone as of the first quarter of 2020?,5.29,two_col_81540.png
what was indonesia's total consumer spending in 2008?,311.77,two_col_80661.png
what was the average expenditure on refrigerators and freezers per consumer unit in the united states in 2019?,76.06,two_col_43044.png
what was the average expenditure on window air conditioners per consumer unit in the united states in 2019?,4.13,two_col_82242.png
what was the total gross gaming revenue of u.s. casinos in 2020?,29981.68,two_col_2185.png
what percentage of respondents said they had increased the frequency of shopping trips for immediate consumption?,19,multi_col_101117.png
"by 2026, the total receipts of the u.s. government are expected to increase to what?",5.33,two_col_40421.png
how much did the total consumption expenditure on clothing of italian households fluctuate between 2008 and 2018?,51053,two_col_20783.png
"what was the total consumer expenditure in tesco's stores for the 12-week period ending march 26th, 2017?",7145,multi_col_994.png
how much did the average annual expenditures for transportation increase in 2019 compared to 2018?,10.1,multi_col_100605.png
what percentage of total coffee and tea consumption in canada in 2012 was coffee consumption?,57.7,two_col_43812.png
what was the average annual expenditure on frozen meals per consumer unit in the united states in 2019?,67.48,two_col_22479.png
what is the projected decrease in the average end-use price of electricity by 2050?,9.6,two_col_4868.png
what was the total consumer spending on food in the uk in 2020?,103379,two_col_20305.png
what was the total consumption of industrial roundwood in the u.s. in 2018?,15792,two_col_62544.png
what was the average energy consumption per guest in africa in megajoules?,164,two_col_6255.png
how many items did consumers buy on average on black friday 2015?,4.08,two_col_24664.png
what was the total transaction value of p2p consumer lending in 2018?,2889.4,multi_col_40819.png
in what year did the average premium per capita increase by 319 euros?,2017,two_col_62629.png
what was the average expenditure on refrigerators and freezers per consumer unit in the united states in 2019?,7.86,two_col_82458.png
what was the total consumer spending in the uk in 2020?,116361,two_col_23467.png
is the sum of two lowest value of green graph greater than higest value of orange graph?,Yes,10468.png
in which time period the difference between blue and orange graph minimum?,Jan 2018,4612.png
what is the sum of lowest green graph value and highest orange graph value?,98,6381.png
what's the sum of first point and largest value of orange graph?,20.7,8376.png
what is the difference in % saying that there is solid evidence of warming among democrats and republicans in 2012?,37,15477.png
what is the sum of the largest difference and the smallest difference in opinions between the two candidates?,18,15829.png
is the least difference between blue and orange graph greater than least value of blue graph?,No,18163.png
add up all the three least value and then find the difference between mostly politics and controversies and the sum total?,12,13774.png
what is the difference in value between completely agree and sum of dk and mostly agree in pie chart?,2,15472.png
what is average total meat supply per person in ghana?,10.5,01606743005377.png
does the sum of value of china and finland is greater then the difference of sri lanka and finland?,Yes,23940851006052.png
what the sum value of mauritius and dominica?,83,24497347006184.png
find ratio of the sum and difference of the two percentage values (ignore decimal values)?,1.31,26334874005187.png
is the average value of two smallest bars more than 0.60 years?,Yes,30699546002290.png
find the sum and the difference of the adequacy of social insurance programs percentage in the brazil and pakistan separately?,"[66.98, 28.1]",77793907011056.png
is the sum of not at all and not much in conservative republicans more than the sum value of not at all and not much liberal democrats ?,Yes,1493.png
what's the sum of the median of all the bars and the average of the two smallest bar?,87,2191.png
